"cname","year","ccode","ccodealp","id","source_link","cab"
"Trinidad and Tobago", "2019, "780", "TTO", "http://www.ipu.org", "NA"
"Trinidad and Tobago", "2020 "780", "TTO", "http://www.ipu.org", "1"
"United Kingdom", "2015", "826", "GBR", "https://www.cpds-data.org/", "1"
"United Kingdom", "2016", "826", "GBR", "https://www.cpds-data.org/", "1"
"United Kingdom", "2017", "826", "GBR", "https://www.cpds-data.org/", "3"
"United Kingdom", "2018", "826", "GBR", "https://www.cpds-data.org/", "3"
"United Kingdom", "2019", "826", "GBR", "https://www.cpds-data.org/", "3"
"United Kingdom", "2020", "826", "GBR", "https://www.cpds-data.org/", "1"
"United States", "2015", "840", "USA", "https://www.cpds-data.org/", "1"
"United States", "2016", "840", "USA", "https://www.cpds-data.org/", "1"
"United States", "2017", "840", "USA", "https://www.cpds-data.org/", "1"
"United States", "2018", "840", "USA", "https://www.cpds-data.org/", "1"
"United States", "2019", "840", "USA", "https://www.cpds-data.org/", "1"
"United States", "2020", "840", "USA", "https://www.cpds-data.org/", "1"
"Uruguay", "2015", "858", "URY", "...", "..."
